name,images,type,capacity,bathroom,bedroom,bed,desc,price,reivew_count,rating
Charming Victorian home - twin beds + breakfast,https://a0.muscache.com/im/pictures/216165/7555968f_original.jpg?aki_policy=large,Private room,2,1.0,1,2,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Cat(s),""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Patio or balcony"",""Garden or backyard"",""Host greets you""}",60,19,96
French Industrial Chic Loft,https://a0.muscache.com/im/pictures/11063933/21d166ec_original.jpg?aki_policy=large,Entire home/apt,12,2.0,3,6,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Long term stays allowed""}",765,10,96
"Walk downtown or UNCA, Pets OK!",https://a0.muscache.com/im/pictures/41011975/0cdfc74f_original.jpg?aki_policy=large,Entire home/apt,2,1.0,1,1,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Wide entrance for guests"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""No stairs or steps to enter"",""Wide doorway to guest bathroom"",""Wide clearance to shower, toilet"",""Wide entryway"",""Host greets you""}",75,4,90
Cottage! BonPaul + Sharky's Hostel,https://a0.muscache.com/im/pictures/8880711/cf38d21c_original.jpg?aki_policy=large,Entire home/apt,2,1.0,1,1,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water""}",107,42,89
"Private Room ""Ader"" at BPS Hostel",https://a0.muscache.com/im/pictures/23447d55-fa7e-4a2b-8d0b-a8345f8732fb.jpg?aki_policy=large,Private room,2,2.5,1,1,"{Internet,Wifi,Kitchen,""Free parking on premises"",Breakfast,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""Self check-in"",Keypad,""Hot water""}",71,14,90
"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",https://a0.muscache.com/im/pictures/98f4e655-c4d6-45b6-b3a3-6edf89300f83.jpg?aki_policy=large,Shared room,1,2.5,1,1,"{Internet,Wifi,""Free parking on premises"",""Smoking allowed"",""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Self check-in"",Keypad,""Hot water""}",26,71,94
Historic Grove Park,https://a0.muscache.com/im/pictures/92433837/d3405b3e_original.jpg?aki_policy=large,Private room,2,1.0,1,1,"{TV,Wifi,Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/kid friendly"",""Smoke detector"",""First aid kit"",""Fire extinguisher"",""Lock on bedroom door""}",125,0,99
The Very Best Location Downtown,https://a0.muscache.com/im/pictures/1219365/63e4dc6f_original.jpg?aki_policy=large,Private room,2,1.0,1,1,"{Wifi,""Air conditioning"",""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),Heating}",127,0,99
Terrace Cottage,https://a0.muscache.com/im/pictures/1829924/9f3bf225_original.jpg?aki_policy=large,Entire home/apt,4,1.0,1,2,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Children’s books and toys"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",134,1,98
Blue Gate West,https://a0.muscache.com/im/pictures/e1887e08-ba68-45d0-af0b-ae8d2f1e2e08.jpg?aki_policy=large,Private room,3,1.0,2,2,"{Wifi,""Air conditioning"",""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Single level home"",""Patio or balcony"",""Garden or backyard"",""Wide hallways"",""No stairs or steps to enter"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Wide entrance"",""Accessible-height bed"",""Host greets you"",""Handheld shower head""}",59,18,97
Asheville Dreamer's Cabin,https://a0.muscache.com/im/pictures/5908617/cfe79153_original.jpg?aki_policy=large,Private room,2,1.0,1,1,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Iron,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",65,4,93
"Private, peaceful, and free goat therapy",https://a0.muscache.com/im/pictures/5c4de1a4-7d97-419c-a447-1163a9fbe381.jpg?aki_policy=large,Entire home/apt,2,1.0,1,1,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""No stairs or steps to enter"",""Flat path to guest entrance"",""Well-lit path to entrance"",Other}",78,89,98
The Fern Street Apt near Biltmore,https://a0.muscache.com/im/pictures/fccae6c5-443a-47db-885e-eb60869f02c6.jpg?aki_policy=large,Entire home/apt,2,1.0,1,0,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",50,1,93
